    ,Serial Number,Course Name,Course Code,Course Acronym,Prerequisites,Preferable_Prerequisites,Antirequisites,Semester,Professor,Credits,Cluster,OptionalDept,embed_link
,389,Reproducing Kernel Hilbert Spaces with Applications (New),MTH550,RKHSA,"MTH100, MTH240 (or equivalent)",None,None,Winter,Prahllad Deb,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRd0DysZcY5nZ8wf6-5Dl0a4yfqfBpKA5K2ucql9_voPpbllUD_Jl5IvoSJKXxbKg/pubhtml?widget=true&amp;headers=false""></iframe>"
,189,An Introduction to Quantum Information Theory,MTH551,QIT,"MTH 100 (Linear Algebra), MTH 240 (Real Analysis-I) or MTH 203 (Multivariate Calculus)","ECE 634/CSE 646 (Classical Information Theory), ECE 525 (Quantum Mechanics)",None,Winter,Satish Pandey,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRRKvYF7JQCq86CRtYxXmfFiBuYm-qL_k6x9VEmMkdcKywVx2lr_uW32UP-xPrroQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,391,Topics in Functional Analysis: Operator Theory on Hilbert spaces,MTH552A,,MTH 542 (Introduction to functional analysis),None,None,Winter,Satish Pandey,2,Maths,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSyXB-RyEU_wbZ0s0qbj9vqwdhtK07VaTQMGg2GaF2OfTwiTbarTkfmvXrqLE8g2g/pubhtml?gid=702945539&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,392,Introduction to Algebraic Geometry with Applications,MTH561,IAGA,None,"MTH 212 (Algebra I) or equivalent, or should have familiarity with Ring theory (definition and examples of ring, ring homomorphism, ideals), Field theory (definition and examples of fields) and basic Topology (definition of open and closed sets).",None,Monsoon,Nabanita Ray,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRHxC6FWBPLD2sNSsdpK25jlXCMZgXYcFsEqz1pF-3W93V-zR3uy1QbaojANNQbvw/pubhtml?widget=true&amp;headers=false""></iframe>"
,190,Point Set Toplogy,MTH562,PST,Continuous functions,MTH240,None,Monsoon,Prahllad Deb,4,MTH,None,"<iframe src=""https://docs.google.com/document/d/e/2PACX-1vT3WvccRVv5DABm-ZPJZw3yhTj7xAZJcOjnAlJjtEnEo8Wt98bzUowJc7lSLE9cRuXO1bchbuSh2WiN/pub?embedded=true""></iframe>"
,394,Point Set Toplogy,MTH562A,PST-2,None,MTH240,MTH562,Monsoon,Samaresh Chatterji,2,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTn0Hu_uzQERl1fspRfMmkJnD2rbvFkTm8BxibOZ9GaQsAyjMp206Z2dAdNQm7MjSczVWo69kw2k79J/pubhtml?gid=82289611&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,191,Differential Geometry,MTH563,DG,"MTH100, MTH240 or MTH203",MTH562,None,Winter,Kaushik Kalyanaraman,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTfD8ZGLEnW5l4fhWRekTzxcq98UnJRPxCESQu_PTtxtvAIz9o0GdHtJ7igyh_YBA/pubhtml?widget=true&amp;headers=false""></iframe>"
,396,Introduction to Riemannian Geometry with Some Applications,MTH564A,IRG,"""MTH100, MTH203""","MTH240 (Real Analysis 1), MTH 562 (Point Set Topology), MTH544 (Calculus on R^n)",None,Monsoon,Acushla Sarswat,2,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRg3dSqx5KKc58SG-IHlfpzeLSN7GcluGJweq5M3I_KcpzQvOWbJqoauDTVEFpF4LvlWX2QBGV0uqzP/pubhtml?gid=1298154600&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,192,Algebraic Topology I,MTH566,,"Real Analysis I (MTH 240), Abstract Algebra I (MTH 212)",Point set topology (MTH 562),None,Winter,Sachchidanand Prasad,4,Maths,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRQJiDsjV4jWiweLAMQ5JpSlWLgbU37Pk6u7lsy7c7mcgH01ihzbP7UAbJRWVLIdw/pubhtml?gid=1085600229&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,398,Numerical Solutions Differential Equations,MTH570,NSDE,"""MTH100, MTH203, MTH240""","MTH270, MTH204",None,Winter,Information not available,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRzxTFCn0sV-q_Sqvbtx6xOjde2RREu3Cmk7u0rcIGsvMZ-q1fjssdt_1TCwOq7q9SGRUf_TUyFjCun/pubhtml?widget=true&amp;headers=false""></iframe>"
