    ,Serial Number,Course Name,Course Code,Course Acronym,Prerequisites,Preferable_Prerequisites,Antirequisites,Semester,Professor,Credits,Cluster,OptionalDept,embed_link
,435,Technology and the Future of Work,SOC314/SOC512,TFM,None,"SOC211, SOC101, SOC210",None,Monsoon,Gayatri Nair,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSv6xxiXIsuFlU8g_-hvoLibdtTwSycP6PqVUjUXCYnwDOtupn34PXkxV_AsAHxXQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,212,Intersectionality Studies,SOC315/SOC511,INST,None,SOC202,None,Monsoon,Smriti Singh,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTlUh4gbiUHxfKyNWNWbUC0GYr3JrQHSoqx0TmBbhOpW_i7oVzmc_3ckKakHCgrGg/pubhtml?widget=true&amp;headers=false""></iframe>"
,437,Advanced Sociological Theory,SOC502,AST,None,Sociological Theory (SOC 210) for B Tech students,SOC312,Winter,Gayatri Nair,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSfgE4QhI0KtSBedDmbrIfQq1SAoFKyenSB2w7w3qhJsp6-ZvPBjOsOgjOR5h6vqA/pubhtml?widget=true&amp;headers=false""></iframe>"
,213,On the making of anthropological objects,SOC504/SOC701,AO,One SOC course (For UG and M.Tech students),SOC Courses at level 3 or higher (For UG and M.Tech students),None,Winter,Deepak Prince,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRNsbbrEsSYMt5kKl0Qm9Cd_xzyIrA1D2Iaf6KTJHFK8OwuDOIgEVk0RLmS-Vattw/pubhtml?widget=true&amp;headers=false""></iframe>"
,439,Enhancement Technologies and the Body: Beyond the Human Form,SOC513,ETB,SOC101,SOC211 / SOC210 / SOC312 / SOC502,None,Monsoon,Paro Mishra,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSLvh7HFyn1XyieEV4CfPWC5ovVfrFK9xzu03sxpwZyTKuwLGIqMTmnBzTpPFbwfA/pubhtml?widget=true&amp;headers=false""></iframe>"
,214,Enhancement Technologies and the Body: Beyond the Human Form,SOC513,,SOC101,SOC 211/ SOC210/SOC312/SOC502),None,Monsoon,Paro Mishra,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT5U7Pn2xg2tlrBrUGo7EJoGAsMTqJZzfhgVxJp4AnjTZcOJDfCT_zCWn8FjAiNug/pubhtml?widget=true&amp;headers=false""></iframe>"
,,Contemporary Studies in Kinship,SOC515,,Introduction to Sociology and Anthropology (SOC101)  OR Sociological Theory (SOC210), Advanced Sociological Theory (SOC312/SOC502),None,Monsoon,Paro Mishra,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTrks-cun5FIsMJS2yPVi_zaQN8wjLIHLNSHWubZji2rAR4Hl-XVATR79G4KvnLhw/pubhtml?widget=true&amp;headers=false""></iframe>"
,442,State and Subject: Advanced topics in political anthropology,SOC702/SOC505,APA,1 SOC class,None,None,Monsoon,Deepak Prince,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSbJlOG6EWb0inXV37UcytAbLV1QQcpqpjN0ycWv1FvOuiwbc10VnC211cjENlE1A/pubhtml?widget=true&amp;headers=false""></iframe>"
,215,Urban Space and Gender,SOC719A,USG,SOC308 (Gender and Media),SOC514 (Gender and Media),None,Winter,Smriti Singh,2,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQrPlXm-b5M3GbLqDNn8DCkTQOK2taTuUfUCmt0HW5QpT7YajHSbUYVRVJzJ7u3kQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,444,Critical Thinking and Readings in Social Science ,SSH101,CTRSS,None,None,None,Winter,Aasim Khan,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR3F5-5AvA6HXcwyar8TmroyDPQIn4mMQOOiucuSXdNb4zY8JJaR4CJwGa-WPSTGE-DzF9D-jMwL4gw/pubhtml?gid=1915266532&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,216,Introduction to Philosophy,SSH121,IPHI,None,None,None,Monsoon,Shweta Singh,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRCHNDHngjOL-m6GrWfQ51XAFVlOYcnzRubwOymL_oq1qTPCv8if4x2GkCbKgJdxxFtPOYAWI5QAFh7/pubhtml?widget=true&amp;headers=false""></iframe>"
,446,Critical Thinking,SSH124,CT,None,None,"""SSH101""",Winter,Raj Ayyar,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQphJKna4qpsvhOxIhxAy0IXV7PoIuix5ovUEVDbjmGe377fOMlvgRXiPoWb-cwQhzGnNg87uHe04qS/pubhtml?gid=335883213&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,217,Research Methods in Social Science and Design,SSH201,RMSSD,SSH101,None,None,Monsoon,Venkata Ratandeep Suri,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTPbBsUuAuf6WHmCSSMV0tYVlqmdFW_WPSKh7CmcPfUsK362af8bnCgYVXa7e5Oxx2YfKRcKnB38y-c/pubhtml?gid=244237486&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,448,Theatre Appreciation,SSH211,TA,None,None,HSS211,Monsoon,Manohar Khushalani,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRxtoci9dmJ-UH20DgYqwAKe6NXubwsGVP2UxSkfbBNYvP7tSd865cFhcENK8PS8L0xRvt7iZ4Mxagp/pubhtml?gid=803259975&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,218,Introduction To The Study Of Literature,SSH214,Lit,None,None,None,Winter,Information not available,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSq3vMrJwmMz2XU4l1rzC-EWEMV7bbWU_PWrxGzKyUwyjMoXrkCMcE4wPl9MgpQaWoEKlFSMfMONzdY/pubhtml?gid=1533237447&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,450,Nation and her Narratives,SSH215,NN,None,None,None,Winter,Payel C Mukherjee,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ8vkS0ShNKUGuJqY8LX2f-9Z17mkZa1AVyZ3cdSdwa4Tsl1uw4RhRIY_ddOvYKr4lMFDWUPDRRNqS-/pubhtml?gid=1090751117&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,219,Introduction to Indian Mythology,SSH216,IIM,None,None,"""HSS219""",Monsoon,Saumya Kulshreshtha,2,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRE5pT90AdqllhO6vzhmvSZ1xQQprHTrgmX1Glehg0A0s2KKyQ2m-_Dh3w0wupsB2zAgVRMMc0jQgQI/pubhtml?gid=1643734671&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,452,Indian Poetry Through the Ages,SSH217,IPA,None,None,None,Winter,Saumya Kulshreshtha,2,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS1yCWvXxckzzw8_quvJsR2AHGnuN5_P6IeO3ms0puFNhO_w8G1acJw4lp8fGhFfPOb0IkId-prRmM9/pubhtml?gid=122724049&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,220,Social and Political Philosophy,SSH221,SPP,None,None,None,Monsoon,Manohar Kumar,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSyReHPpcrb5oZs-ykBUwOhWjcZxpwLUjzdx5q-z5m9hA38FzSyM1UYDdsWVQUT_OrVFJ8Zo7LCyY9S/pubhtml?gid=1556679691&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,454,Theory and Practice of Engineering Ethics,SSH222,TPEE,None,None,None,Winter,Shweta Singh,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQcLLfEu6DeFrdKuFhCFYtVb4UNqSY99CAfm1p0f5G0owsG9WZGjecQUJIV-td7wt947ZMLqQSJoYRV/pubhtml?gid=1327390996&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,221,Perspectives of Knowledge,SSH223,PoK,None,None,None,Monsoon,Shweta Singh,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vScV__Pc8ygslMGzahzu23pUZsKlORoJgcP3FRwYa4Uxo0fnynJxTxUhdrrREXoe8MSTPoI8jUU9_XX/pubhtml?gid=1912230749&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,456,"Computer, Information Ethics and Society",SSH224,CIES,None,None,None,Winter,Shweta Singh,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSBNPSAqu2w5btRKEE8P2JVjl6TI7vcNpkfCQo5oEV9o8EJcxQfMDKvvRz4KxtVfX55zuXzWvKbE3RM/pubhtml?gid=1635537190&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,222,Comprehensive Gender Sensitization,SSH225A,CGS,None,None,None,Monsoon,Smriti Singh,2,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRmK0v-U2CG_yJeLNQDPFlF4ZR_ygnJ4z4Q60gPT_aw_1VyhMAqVjQmyWqNF1cEiQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,458,Politics in Digital Era,SSH240,PDE,None,Social and Political Philosophy,None,Monsoon,Aasim Khan,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRctvmiOzn_LiYxmTL8pIJ19HEhhM3V-mpQryYwn3JYODf9T3bbblQxln_86vbmvQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,223,Democracy in India: Principles and Practices,SSH261,DIPP,None,None,None,Winter,Praveen Priyadarshi,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTw3PaGeVjlFXjn5AwiU6wtPFOSjgFJDCvomJPh9G84dcxaqUd0e9lhVAJKZiolcVWT7chzXxUaR21b/pubhtml?gid=1085880294&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,460,Theories of Ethics,SSH300,TE,None,Introduction to Philosophy,None,Monsoon,Nishad Patnaik,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT2YIaciZkckMskk15jEdQ0l91xFKwB73rIwqr6CSr1rYldDjlfV2EvgjDI9mxhFw/pubhtml?widget=true&amp;headers=false""></iframe>"
,224,Advanced Writing,SSH311,AW,None,None,None,Winter,Payel C Mukherjee,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRJMDuXZTue99dcqeBnM-4YLv4KNQhZfQ5mksiCvNVLGcBBhiCc5dT0UAvztpQH64MqW6jx8r080XXC/pubhtml?widget=true&amp;headers=false""></iframe>"
,462,Applied Ethics,SSH321/SSH521,AE,None,None,None,Winter,Manohar Kumar,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQiKLNgH-kY2EESiuPgOPR2VZyfA7QwSH2az45Esueu6JR-GVRlijCyKmL9pVqEOA/pubhtml?gid=1100688841&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,225,New Media and Politics,SSH323,NMP,None,Social and Political Philosophy,None,Monsoon,Aasim Khan,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRbfXH-UgMo_9XCX5vIH01UcvUsamQZRzdNSkPpKy7YybIO4-N_-57dIRVc8k8w6kbTPntqvOBEHvX7/pubhtml?gid=690055581&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,464,Philosophy of Mind,SSH324,PoM,SSH121,None,None,Winter,Nishad Patnaik,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTgfh0_HrwRObXSNfej-pPyaIiQh92MRn08LSC_au6pFqFJXhfDBNqDE1Iv_IjPcQAIeCqt0fJTt6Vz/pubhtml?gid=1109152343&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,226,Ethics in AI,SSH325/SSH525,EI,None,"SSH321, SSH300, CSE342, CSE343",None,Winter,Manohar Kumar,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRdJ72zd6CbJT67Ez4G31nBUHx3Wtz_7hUWZRarzTFX2PAJ__rcaaH2tny88v0YAA/pubhtml?widget=true&amp;headers=false""></iframe>"
,466,Japanese Language,SSH326,JALang,None,None,None,Winter,Guest Faculty,4,SSH,None,"<iframe src=""https://docs.google.com/document/d/e/2PACX-1vRsVhtxPgknSlsnxUgGjFVSsIdyoeGZvf8hpWPA0WrMmThHEFdr4pRciEygzIU9xA/pub?embedded=true""></iframe>"
,227,Concepts and Methods in Social Movement Research,SSH327A/SSH527A,CMSMR,Introduction level course in any of the major social sciences including critical thihking,Introduction to Sociology/New Media and Politics,None,Monsoon,Aasim Khan,2,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT0CnW9RWh0nybYMTJRR-HyzE52kUc8oDVA8HAMLTzwuRUKwqXkY5sj2HVzye-3Eg/pubhtml?widget=true&amp;headers=false""></iframe>"
,468,"Governing AI: History, Theory, Policy (New)",SSH341/SSH541,GAI,None,None,None,Monsoon,Praveen Priyadarshi,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vROx60_lUGvUruUsSpF1E1iesZBjpNu7qnT0iTpwN1e1L0xK8_yyGJGp7213o4jdA/pubhtml?widget=true&amp;headers=false""></iframe>"
,228,Political Concepts in Contemporary India,SSH342/SSH542,,None,"SSH221: Social and Political Philosophy, SOC101: Introduction to Sociology and Anthropology",None,Winter,Neera Chandhoke,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSVlFp8iHoGtqkRuPSSBsVcsZnYJ8QfcQdBEJ0k_svDJzIBTdRj95yhPdh0SphyqQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,470,Comparative Politics in Digital Era,SSH361,CPDE,None,None,None,Winter,Aasim Khan,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQ4H_s1jVDWdh_o-AuQGxtU8OHqD6YqWQvzRut3HXMhbPj3hdfhjLF8hoi2Xmf_Th92Zvn2wqMedUAO/pubhtml?gid=1157862776&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,229,Urban Space and Political Power,SSH362/SSH562,USPP,None,SOC101,None,Monsoon/Winter,Praveen Priyadarshi,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRmh84GNcfP-v3VfYTuOQDmsTwei4G0L7E1b7h3w-s0pNKPBCUrurZzTuxfPTg1yd91SD2M1IT1zP5A/pubhtml?gid=1214203233&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,472,Philosophy of Technology,SSH3PT,PT,None,None,None,Winter,Nishad Patnaik,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSj4lL-heaytDKpq5jdKLmnBaNGG2rYmgvdtjemCQlQ6CpTBY4xSUfRpAzDjHX7bMCwufAijGeQNOwX/pubhtml?gid=876819508&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,230,Reading Hegel's Phenomenology of Spiri,SSH526/SSH726,RHPS,None,Familiarity with Kantian philosophy,None,Monsoon,Nishad Patnaik,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR82G2hYugxet8xlGf7VUnRvbBSvIJamd6oT4XVGKO3N5adBKk_owul1nnIJiTELg/pubhtml?widget=true&amp;headers=false""></iframe>"
,,Contemporary Continental Political Theory ,SSH544/744,,None,Some familiarity with the basic philosophical approachs/systems in political theory.   ,None,Monsoon,Nishad Patnaik,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTcl-U7acM0t8fbDKfVGVyrfkA3WXD7dBNigf3Jetr1cB7bFIVr4zwPTicBcDY8wQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,475,Key Concepts in Political Theory,SSH5743,,None,None,None,Monsoon,Neera Chandhoke,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTGDeq_LjtkmzjCqP9BwcBxE_RzSqXlwyRELy7yh74dZamRmWbvBxLDDHVL7t4mlQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,231,"Knowledge Production, Concepts and Context",SSH700,KPCC,None,None,None,Monsoon,"Aasim Khan, Praveen Priyadarshi, Nishad Patnaik, Manohar Kumar",4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRzhYxZ0EURrzlczJZftHMKBMZ69Lgn7fkMi5GD0aAEa4cR1H-0zVcBNHmUhTx1PQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,477,Data and Society,SSH711,D&S,None,None,None,Monsoon,Ratan Suri,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSGzDrz0bUtSDCbQiA1dST5tZw3jh2kt8cdkPLNMqw5c8GG_CFK1oHgvdmHPpVKeQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,232,Advanced Readings in Moral and Political Philosophy,SSH721,,None,Theories of Ethics ,None,Winter,"Praveen Priyadarshi, Manohar Kumar",4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSp0BSD1yYzTO2uncF1cgEXwLrt_Rvz2aMV0efFua3XrkRy89n4KpMH_jNJNoBYlg/pubhtml?widget=true&amp;headers=false""></iframe>"
,479,Kant's Critique of Pure Reason,SSH728,,"Knowledge Production, Concepts and Context (KPCC)",Some familiarity with the basic philosophical approach/system  of the philosopher in question  ,None,Monsoon,Nishad Patnaik,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR2sn5Fb0VSyA5BcUMjpw6OeanVSvpKfLZKW4jYoUKwkj8aw-sPYD931ybp-m9obA/pubhtml?widget=true&amp;headers=false""></iframe>"
